,Unnamed: 0,no,xmin,ymax,xmax,ymin,length,height,center_x,center_y,frame,second,frame_sec,second_acc,confidenceI
0,0,1,2,369.062,69.2166,260,68,109,35.433795,314.384,72,2,22,2.88,0.755543
1,1,2,12,334.386,88.637,252,77,83,50.1114,293.0895,73,2,23,2.92,0.711651
2,2,3,30,313.623,115.645,220,86,93,72.69825,266.924,75,3,0,3.0,0.933264
3,3,4,100,270.372,181.146,174,81,96,140.755,222.3685,79,3,4,3.16,0.769248
4,4,5,122,251.9,204.148,165,82,87,163.1325,208.23,80,3,5,3.2,0.874106
5,5,6,138,243.51,220.504,153,83,90,179.105,198.3545,81,3,6,3.24,0.969813
6,6,7,153,230.723,235.063,141,82,90,193.932,185.738,82,3,7,3.28,0.938074
7,7,8,165,224.199,249.948,129,85,95,207.4865,176.75,83,3,8,3.32,0.842649
8,8,9,185,199.132,266.042,120,81,79,225.535,159.5345,84,3,9,3.36,0.927533
9,9,10,200,194.022,276.177,104,76,90,238.066,149.1975,85,3,10,3.4,0.969737
10,0,1,2,369.062,69.2166,260,68,109,35.433795,314.384,0,2,22,2.88,0.755543
11,1,2,12,334.386,88.637,252,77,83,50.1114,293.0895,1,2,23,2.92,0.711651
